Date,SPY
2014-06-10,160.9346923828125
2014-06-11,160.37518310546875
2014-06-12,159.23974609375
2014-06-13,159.7252197265625
2014-06-16,159.85684204101562
2014-06-17,160.30108642578125
2014-06-18,161.4776611328125
2014-06-19,161.65872192382812
2014-06-20,161.9868621826172
2014-06-23,161.93727111816406
2014-06-24,160.96177673339844
2014-06-25,161.6892852783203
2014-06-26,161.5735321044922
2014-06-27,161.8876953125
2014-06-30,161.80502319335938
2014-07-01,162.8880615234375
2014-07-02,163.0533447265625
2014-07-03,163.85528564453125
2014-07-07,163.28488159179688
2014-07-08,162.2349395751953
2014-07-09,162.96238708496094
2014-07-10,162.31761169433594
2014-07-11,162.54080200195312
2014-07-14,163.35922241210938
2014-07-15,163.0533447265625
2014-07-16,163.65689086914062
2014-07-17,161.79676818847656
2014-07-18,163.45022583007812
2014-07-21,163.1442413330078
2014-07-22,163.85528564453125
2014-07-23,164.21908569335938
2014-07-24,164.22731018066406
2014-07-25,163.45843505859375
2014-07-28,163.52459716796875
2014-07-29,162.82188415527344
2014-07-30,162.84661865234375
2014-07-31,159.6307373046875
2014-08-01,159.1429901123047
2014-08-04,160.2921600341797
2014-08-05,158.73793029785156
2014-08-06,158.78750610351562
2014-08-07,157.92771911621094
2014-08-08,159.75473022460938
2014-08-11,160.21774291992188
2014-08-12,159.99452209472656
2014-08-13,161.07752990722656
2014-08-14,161.83810424804688
2014-08-15,161.80502319335938
2014-08-18,163.16082763671875
2014-08-19,164.0123748779297
2014-08-20,164.4504852294922
2014-08-21,164.93002319335938
2014-08-22,164.67376708984375
2014-08-25,165.50869750976562
2014-08-26,165.61614990234375
2014-08-27,165.55006408691406
2014-08-28,165.4591064453125
2014-08-29,165.9303741455078
2014-09-02,165.84768676757812
2014-09-03,165.75669860839844
2014-09-04,165.51695251464844
2014-09-05,166.26101684570312
2014-09-08,165.83119201660156
2014-09-09,164.78123474121094
2014-09-10,165.4012451171875
2014-09-11,165.59141540527344
2014-09-12,164.62420654296875
2014-09-15,164.50009155273438
2014-09-16,165.7401885986328
2014-09-17,165.96334838867188
2014-09-18,166.84799194335938
2014-09-19,166.6976318359375
2014-09-22,165.41029357910156
2014-09-23,164.46339416503906
2014-09-24,165.7508087158203
2014-09-25,163.07635498046875
2014-09-26,164.37200927734375
2014-09-29,164.07302856445312
2014-09-30,163.64111328125
2014-10-01,161.4234619140625
2014-10-02,161.44837951660156
2014-10-03,163.22584533691406
2014-10-06,163.03480529785156
2014-10-07,160.51812744140625
2014-10-08,163.3254852294922
2014-10-09,160.0862274169922
2014-10-10,158.25892639160156
2014-10-13,155.65921020507812
2014-10-14,155.9001007080078
2014-10-15,154.84524536132812
2014-10-16,154.71238708496094
2014-10-17,156.53970336914062
2014-10-20,158.0596466064453
