CAGR,AnnVol,Sharpe,MaxDD
-0.102728,0.129930,-0.768901,-0.832858
-0.049234,0.128242,-0.329303,-0.591226
-0.063971,0.130762,-0.439876,-0.746014
-0.084988,0.125867,-0.642392,-0.762605
-0.102369,0.126823,-0.787765,-0.843921
-0.048036,0.128163,-0.319741,-0.640699
-0.086159,0.130082,-0.627179,-0.796545
-0.013201,0.124369,-0.044486,-0.495554
-0.084370,0.130530,-0.609626,-0.800784
-0.148972,0.128321,-1.192259,-0.928047
-0.024427,0.131512,-0.122128,-0.495838
-0.025017,0.127809,-0.134097,-0.466108
-0.135382,0.127586,-1.075851,-0.915570
-0.081893,0.129037,-0.597282,-0.765975
-0.042916,0.124890,-0.288622,-0.639773
-0.014302,0.127550,-0.048957,-0.461538
-0.033260,0.130611,-0.193426,-0.600920
-0.056434,0.126430,-0.396012,-0.705665
-0.076847,0.129514,-0.552335,-0.757810
-0.086743,0.127237,-0.649193,-0.767384
-0.081058,0.129508,-0.587595,-0.784996
-0.053593,0.130126,-0.357973,-0.694601
-0.081470,0.129181,-0.592884,-0.784788
-0.041341,0.126278,-0.271010,-0.568032
-0.075054,0.130188,-0.533860,-0.753807
-0.072965,0.128956,-0.522752,-0.700040
-0.092384,0.129871,-0.681022,-0.803600
-0.064370,0.124315,-0.472794,-0.715989
-0.008715,0.128579,-0.003562,-0.558890
-0.028980,0.127118,-0.167557,-0.511799
-0.038915,0.129119,-0.242598,-0.558474
-0.059782,0.129137,-0.412497,-0.670010
-0.135812,0.124591,-1.108674,-0.906327
-0.058340,0.129258,-0.400122,-0.688492
-0.033830,0.127815,-0.205113,-0.609500
-0.015228,0.127936,-0.055799,-0.654783
-0.048266,0.125466,-0.331302,-0.677447
-0.088894,0.126473,-0.672442,-0.795336
-0.024064,0.127860,-0.126359,-0.611702
-0.066882,0.126601,-0.483203,-0.764245
-0.072234,0.125500,-0.534338,-0.712921
-0.040213,0.129268,-0.252614,-0.638979
-0.096144,0.131351,-0.703464,-0.850773
-0.039293,0.126360,-0.253837,-0.738121
-0.012757,0.126598,-0.037925,-0.457826
-0.008430,0.124995,-0.005059,-0.536967
