day,p2.5,p5,p25,p50,p75,p95,p97.5
280,0.281957,0.300416,0.357289,0.399312,0.445361,0.517035,0.536342
281,0.282239,0.299844,0.356420,0.400016,0.445558,0.517977,0.535157
282,0.281735,0.300386,0.356209,0.400199,0.445353,0.518466,0.536046
283,0.281945,0.300297,0.356288,0.399957,0.445525,0.516384,0.536021
284,0.280493,0.300102,0.356654,0.399513,0.445052,0.516235,0.535424
285,0.279810,0.299680,0.357240,0.400123,0.445015,0.516349,0.537913
286,0.279809,0.298939,0.356286,0.400629,0.445440,0.517679,0.538318
287,0.278715,0.298971,0.356470,0.400703,0.444786,0.518656,0.538489
288,0.279577,0.298521,0.357168,0.400204,0.445252,0.518953,0.537846
289,0.279086,0.297762,0.355758,0.399692,0.444967,0.517974,0.537965
290,0.279137,0.296247,0.356062,0.399471,0.445543,0.518230,0.537440
291,0.277913,0.297280,0.355799,0.399496,0.446363,0.517594,0.538598
292,0.278045,0.297216,0.356681,0.399604,0.446415,0.518167,0.540157
293,0.278277,0.296978,0.356010,0.399101,0.446021,0.519030,0.537689
294,0.279167,0.296687,0.356333,0.398736,0.445862,0.519099,0.540394
295,0.278296,0.296597,0.355736,0.399204,0.446520,0.518823,0.541075
296,0.278179,0.296307,0.354888,0.398404,0.446549,0.517777,0.540927
297,0.279509,0.295187,0.355274,0.399033,0.446669,0.518837,0.539594
298,0.278148,0.295444,0.355217,0.398172,0.447013,0.518203,0.541875
299,0.278794,0.294826,0.354988,0.398447,0.447303,0.519990,0.542051
300,0.278606,0.295524,0.354867,0.398981,0.447143,0.521030,0.542700
301,0.278144,0.296272,0.355108,0.398311,0.446756,0.520300,0.542435
302,0.277891,0.296348,0.354869,0.397746,0.446757,0.522081,0.543233
303,0.278362,0.295796,0.354054,0.397854,0.446388,0.523699,0.545703
304,0.278227,0.294868,0.353997,0.397563,0.447145,0.523283,0.545292
305,0.277897,0.294258,0.354868,0.397619,0.446073,0.522155,0.546149
306,0.277391,0.295113,0.354540,0.398015,0.445994,0.523678,0.546448
307,0.277824,0.294726,0.355399,0.397847,0.445253,0.522242,0.547544
308,0.277766,0.294341,0.354677,0.397700,0.446414,0.521476,0.548392
309,0.277498,0.294594,0.354509,0.397320,0.446371,0.522519,0.547472
310,0.276584,0.293675,0.354072,0.398107,0.446523,0.523333,0.548790
311,0.276262,0.293811,0.354282,0.398285,0.446127,0.523461,0.548071
312,0.276825,0.292248,0.353759,0.397604,0.446026,0.524392,0.551271
313,0.275650,0.292417,0.353626,0.397578,0.445848,0.524499,0.552372
314,0.275590,0.291945,0.353537,0.397414,0.446962,0.525984,0.552180
315,0.276431,0.292796,0.353207,0.397330,0.445313,0.527685,0.551179
316,0.275572,0.291240,0.353160,0.397108,0.446669,0.527459,0.550282
317,0.274925,0.291528,0.353250,0.397288,0.445718,0.526842,0.549614
318,0.276073,0.291039,0.353858,0.397506,0.445654,0.527095,0.551079
319,0.274794,0.291197,0.353857,0.398127,0.445483,0.528577,0.552660
320,0.274789,0.291092,0.353491,0.397289,0.445351,0.527669,0.553141
321,0.274547,0.290182,0.352465,0.397073,0.446364,0.528610,0.554936
322,0.276795,0.289389,0.352159,0.397011,0.446103,0.527570,0.552921
323,0.275965,0.289520,0.352434,0.396907,0.445845,0.527319,0.552669
324,0.277006,0.288368,0.351351,0.397873,0.445057,0.527500,0.553676
325,0.274483,0.288322,0.351671,0.397718,0.444104,0.527416,0.553025
326,0.275245,0.288069,0.352350,0.397321,0.444683,0.529290,0.554879
327,0.275750,0.288069,0.352211,0.398179,0.445579,0.529174,0.552456
328,0.274866,0.288984,0.352050,0.398026,0.445566,0.530521,0.554909
329,0.275784,0.288276,0.352197,0.398377,0.445754,0.530923,0.552670
330,0.276330,0.288153,0.352334,0.397455,0.445367,0.528295,0.553734
331,0.275048,0.287920,0.352198,0.397090,0.445178,0.530248,0.555409
332,0.273848,0.288351,0.351749,0.397485,0.446412,0.530265,0.554751
333,0.274184,0.289156,0.351013,0.397092,0.445631,0.530056,0.557049
334,0.273802,0.289221,0.351000,0.397386,0.445368,0.529819,0.557407
335,0.274490,0.289084,0.350927,0.397379,0.445835,0.530941,0.558241
336,0.274129,0.288422,0.350567,0.396607,0.446207,0.531440,0.558293
337,0.274237,0.288249,0.350117,0.396662,0.446533,0.531344,0.557800
338,0.274594,0.288172,0.350658,0.396345,0.445973,0.530809,0.558444
339,0.273744,0.288115,0.351139,0.396524,0.445776,0.530225,0.558504
340,0.273036,0.288176,0.350653,0.396688,0.445792,0.532167,0.558344
341,0.273168,0.288234,0.350306,0.396358,0.445798,0.531893,0.557111
342,0.273094,0.288566,0.350257,0.396486,0.446627,0.532641,0.556455
343,0.272518,0.288398,0.349650,0.395688,0.445993,0.532099,0.556817
344,0.271634,0.287054,0.350316,0.395547,0.446419,0.532449,0.557378
345,0.272630,0.286405,0.350540,0.395747,0.446256,0.531076,0.558359
346,0.272032,0.286305,0.350233,0.396078,0.447061,0.530889,0.557418
347,0.271374,0.286425,0.349603,0.396100,0.446202,0.528793,0.558901
348,0.270682,0.286919,0.349329,0.396444,0.445915,0.529224,0.558784
349,0.271718,0.287260,0.349171,0.396045,0.445054,0.529593,0.558407
350,0.272123,0.286497,0.349184,0.395491,0.445353,0.529404,0.556275
351,0.271913,0.286082,0.349417,0.395507,0.445475,0.529984,0.561587
352,0.270492,0.286009,0.349343,0.395416,0.445834,0.529690,0.561460
353,0.270946,0.285588,0.349434,0.395210,0.446439,0.529304,0.562474
354,0.268552,0.284657,0.350302,0.395463,0.447239,0.530049,0.563008
355,0.270077,0.283468,0.350043,0.395064,0.446979,0.528654,0.562106
356,0.268878,0.284563,0.349870,0.394706,0.446795,0.528290,0.562903
357,0.267796,0.284686,0.349436,0.395033,0.445966,0.529332,0.560350
358,0.267921,0.284723,0.348705,0.394781,0.446375,0.529979,0.560064
359,0.266393,0.284154,0.348758,0.393913,0.445837,0.530871,0.562562
360,0.268173,0.284557,0.347629,0.394185,0.445365,0.531772,0.562853
361,0.266669,0.284103,0.347749,0.394311,0.445185,0.530127,0.562286
362,0.266748,0.283838,0.347076,0.394590,0.444999,0.531361,0.561488
363,0.267263,0.284889,0.347654,0.394557,0.445089,0.531423,0.563763
364,0.267102,0.285609,0.347437,0.393795,0.445384,0.531749,0.560151
365,0.265349,0.285465,0.347243,0.393488,0.445890,0.530569,0.564213
366,0.265715,0.285492,0.347523,0.393403,0.445487,0.531276,0.566412
367,0.265937,0.286327,0.347338,0.392968,0.446471,0.530270,0.564662
368,0.265546,0.285786,0.347763,0.393307,0.445505,0.529638,0.564540
369,0.264254,0.285708,0.347142,0.393077,0.446350,0.527553,0.565629
370,0.263078,0.286037,0.346292,0.392922,0.445401,0.527527,0.563325
371,0.265809,0.286248,0.346254,0.392517,0.446079,0.527026,0.564535
372,0.264420,0.286088,0.345856,0.392878,0.446005,0.527283,0.562498
373,0.262841,0.286711,0.345387,0.393068,0.445594,0.529657,0.561428
374,0.263500,0.285748,0.345079,0.392137,0.445268,0.529172,0.563010
375,0.263501,0.284914,0.345492,0.391911,0.444828,0.530263,0.564008
