Date,regime,gross_ret,trading_costs,mgmt_fee,borrow_costs,net_ret,equity,bench_net_ret,bench_equity
2018-04-05,bull,0.00485997,-0.00003452,-0.00000000,-0.00000372,0.00482173,0.87812630,0.00788811,2.74787203
2018-04-06,bull,-0.01636834,-0.00002540,-0.00000000,-0.00000345,-0.01639718,0.86372751,-0.02228941,2.68662358
2018-04-09,bull,0.00412093,-0.00001968,-0.00000000,-0.00000355,0.00409770,0.86726680,0.00492487,2.69985486
2018-04-10,bull,0.01633509,-0.00002662,-0.00000000,-0.00000321,0.01630526,0.88140782,0.01589655,2.74277325
2018-04-11,bull,-0.00332067,-0.00001580,-0.00000000,-0.00000335,-0.00333982,0.87846408,-0.00524565,2.72838561
2018-04-12,bull,0.01056598,-0.00001115,-0.00000000,-0.00000330,0.01055153,0.88773322,0.00822371,2.75082306
2018-04-13,bull,-0.00677455,-0.00001202,-0.00000000,-0.00000337,-0.00678995,0.88170556,-0.00293701,2.74274386
2018-04-16,bull,0.00835413,-0.00000895,-0.00000000,-0.00000343,0.00834174,0.88906052,0.00821848,2.76528506
2018-04-17,bull,0.01650308,-0.00001960,-0.00000000,-0.00000321,0.01648027,0.90371247,0.01069490,2.79485950
2018-04-18,bull,0.00307029,-0.00001555,-0.00000000,-0.00000338,0.00305137,0.90647003,0.00073697,2.79691922
2018-04-19,bull,-0.00439416,-0.00001888,-0.00000000,-0.00000340,-0.00441644,0.90246666,-0.00555142,2.78139236
2018-04-20,bull,-0.00397028,-0.00001753,-0.00000000,-0.00000350,-0.00399132,0.89886463,-0.00848288,2.75779815
2018-04-23,bull,-0.00318712,-0.00001758,-0.00000000,-0.00000364,-0.00320834,0.89598077,-0.00015359,2.75737457
2018-04-24,bull,-0.01524958,-0.00002497,-0.00000000,-0.00000337,-0.01527791,0.88229206,-0.01347100,2.72022998
2018-04-25,bull,-0.00491785,-0.00001416,-0.00000000,-0.00000350,-0.00493551,0.87793750,0.00246803,2.72694358
2018-04-26,bull,0.01166571,-0.00002317,-0.00000000,-0.00000334,0.01163920,0.88815599,0.01016233,2.75465568
2018-04-27,bull,-0.00374081,-0.00002094,-0.00000000,-0.00000350,-0.00376525,0.88481185,0.00093504,2.75723140
2018-04-30,bull,-0.00579170,-0.00001650,-0.00000000,-0.00000364,-0.00581184,0.87966947,-0.00769390,2.73601753
2018-05-01,bull,-0.00241779,-0.00001981,-0.00000000,-0.00000383,-0.00244143,0.87752181,0.00177309,2.74086873
2018-05-02,bull,-0.00232528,-0.00001950,-0.00000000,-0.00000403,-0.00234882,0.87546067,-0.00672089,2.72244764
2018-05-03,bull,0.00736442,-0.00002021,-0.00000000,-0.00000402,0.00734020,0.88188672,-0.00220736,2.71643821
2018-05-04,bull,0.00549413,-0.00002192,-0.00000000,-0.00000416,0.00546805,0.88670893,0.01294280,2.75159654
2018-05-07,bull,0.01123820,-0.00001225,-0.00000000,-0.00000413,0.01122182,0.89665941,0.00337981,2.76089640
2018-05-08,bull,0.00708271,-0.00001658,-0.00000000,-0.00000427,0.00706186,0.90299150,-0.00000357,2.76088654
2018-05-09,bull,0.01803742,-0.00002693,-0.00000000,-0.00000396,0.01800653,0.91925124,0.00966216,2.78756266
2018-05-10,bull,0.01058829,-0.00002060,-0.00000000,-0.00000401,0.01056368,0.92896192,0.00934688,2.81361767
2018-05-11,bull,0.00187359,-0.00002571,-0.00000000,-0.00000421,0.00184367,0.93067461,0.00304786,2.82219320
2018-05-14,bull,-0.00445192,-0.00001174,-0.00000000,-0.00000428,-0.00446793,0.92651642,0.00047290,2.82352782
2018-05-15,bull,-0.00274468,-0.00001622,-0.00000000,-0.00000443,-0.00276533,0.92395430,-0.00689065,2.80407189
2018-05-16,bull,0.00356009,-0.00002225,-0.00000000,-0.00000466,0.00353318,0.92721879,0.00420149,2.81585317
2018-05-17,bull,0.00588918,-0.00003248,-0.00000000,-0.00000481,0.00585190,0.93264478,-0.00084828,2.81346453
2018-05-18,bull,0.00298723,-0.00003134,-0.00000000,-0.00000508,0.00295081,0.93539684,-0.00250365,2.80642060
2018-05-21,bull,0.01210776,-0.00001284,-0.00000000,-0.00000515,0.01208976,0.94670556,0.00751515,2.82751128
